;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;
298;;;;;;;;;;;;;;;;;;;;;;;;
299;;;;;;;;;;;;;;;;;;;;;;;;
300;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;20
301;;;;;;;;;;;;;;;;;;;;;;;;
302;;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;13
303;1;;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
304;;1;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
305;;;;;;;;;;;;;;;;;;;;;;;;
306;;;;;;;;;;;;;;;;;;;;;;;;
307;;;;;;;;;;;;;;;;;;;;;;;;
308;;;;;;;;;;;;;;;;;;;;;;;;
309;;;;;;;;;;;;;;;;;;;;;;;;
310;;;;;;;;;;;;;;;;;;;;;;;;
311;;;;;;;;;;;;;;;;;;;;;;;;
312;;;;;;;;;;;;;;;;;;;;;;;;
313;;;;;;;;;;;;;;;;;;;;;;;;
314;;;;;;;;;;;;;;;;;;;;;;;;
315;;;;;;;;;;;;;;;;;;;;;;;;
316;;;;;;;;;;;;;;;;;;;;;;;;
317;;;;;;;;;;;;;;;;;;;;;;;;
318;;;;;;;;;;;;;;;;;;;;;;;;
319;;;;;;;;;;;;;;;;;;;;;;;;
320;;;;;;;;;;;;;;;;;;;;;;;;
321;;;;;;;;;;;;;;;;;;;;;;;;
322;;;;;;;;;;;;;;;;;;;;;;;;
323;;;;;;;;;;;;;;;;;;;;;;;;
324;;;;;;;;;;;;;;;;;;;;;;;;
325;;;;;;;;;;;;;;;;;;;;;;;;
326;;;;;;;;;;;;;;;;;;;;;;;;
327;;;;;;;;;;;;;;;;;;;;;;;;
328;;;;;;;;;;;;;;;;;;;;;;;;
329;;;;;;;;;;;;;;;;;;;;;;;;
330;;;;;;;;;;;;;;;;;;;;;;;;
331;;;;;;;;;;;;;;;;;;;;;;;;
332;;;;;;;;;;;;;;;;;;;;;;;;
333;;;;;;;;;;;;;;;;;;;;;;;;
334;;;;;;;;;;;;;;;;;;;;;;;;
335;;;;;;;;;;;;;;;;;;;;;;;;
336;;;;;;;;;;;;;;;;;;;;;;;;
337;;;;;;;;;;;;;;;;;;;;;;;;
338;;;;;;;;;;;;;;;;;;;;;;;;
339;;;;;;;;;;;;;;;;;;;;;;;;
340;;;;;;;;;;;;;;;;;;;;;;;;
341;;;;;;;;;;;;;;;;;;;;;;;;
342;;;;;;;;;;;;;;;;;;;;;;;;
343;;;;;;;;;;;;;;;;;;;;;;;;
344;;;;;;;;;;;;;;;;;;;;;;;;
345;;;;;;;;;;;;;;;;;;;;;;;;
346;;;;;;;;;;;;;;;;;;;;;;;;
347;;;;;;;;;;;;;;;;;;;;;;;;
348;;;;;;;;;;;;;;;;;;;;;;;;
349;;;1;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
350;;;;;;;;;;;;;;;;;;;;;;;;
351;1;;;;1;1;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;16
352;1;;1;;1;;;;;;;1;1;1;1;1;1;;1;1;1;1;1;14
353;;;;;;;;;;;;;;;;;;;;;;;;
354;;;;;;;;;;;;;;;;;;;;;;;;
355;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
356;;;;;;;;;;;;;;;;;;;;;;;;
357;;;;;;;;;;;;;;;;;;;;;;;;
358;;;;;;;;;;;;;;;;;;;;;;;;
359;;;;;;;;;;;;;;;;;;;;;;;;
360;;;;;;;;;;;;;;;;;;;;;;;;
361;;;;;;;;;;;;;;;;;;;;;;;;
362;1;;;;1;1;1;;;;1;1;1;1;1;1;1;1;1;;1;1;;15
363;;;;;;;;;;;;;;;;;;;;;;;;
364;;;;;;;;;;;;;;;;;;;;;;;;
365;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
366;;;;;;;;;;;;;;;;;;;;;;;;
367;;;;;;;;;;;;;;;;;;;;;;;;
368;;;;;;;;;;;;;;;;;;;;;;;;
369;;;;;;;;;;;;;;;;;;;;;;;;
370;;;;;;;;;;;;;;;;;;;;;;;;
371;1;;1;;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
372;;;;;;;;;;;;;;;;;;;;;;;;
373;;;;;;;;;;;;;;;;;;;;;;;;
374;1;1;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
375;;;;;;;;;;;;;;;;;;;;;;;;
376;;;;;;;;;;;;;;;;;;;;;;;;
377;1;;;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
378;1;1;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
379;1;;;;1;;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;17
380;;;;;;;;;;;;;;;;;;;;;;;;
381;1;;;;1;;;1;;1;;1;1;1;1;1;1;1;1;1;1;1;1;16
382;;;;;;;;;;;;;;;;;;;;;;;;
383;;;;;;;;;;;;;;;;;;;;;;;;
384;1;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;13
385;1;;1;;1;1;;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;18
386;;;;;;;;;;;;;;;;;;;;;;;;
387;;;;;;;;;;;;;;;;;;;;;;;;
388;;;;;;;;;;;;;;;;;;;;;;;;
389;;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;13
390;;;;;;;;;;;;;;;;;;;;;;;;
391;;;;;;;;;;;;;;;;;;;;;;;;
392;;;;;;;;;;;;;;;;;;;;;;;;
393;;;;;;;;;;;;;;;;;;;;;;;;
394;1;;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;21
395;;;;;;;;;;;;;;;;;;;;;;;;
396;;;;;;;;;;;;;;;;;;;;;;;;
397;;1;;1;1;;;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
398;;;;;;;;;;;;;;;;;;;;;;;;
399;;;;;;;;;;;;;;;;;;;;;;;;
400;;;;;;;;;;;;;;;;;;;;;;;;
401;;;;;;;;;;;;;;;;;;;;;;;;
402;1;;1;;1;1;;;;;;1;1;1;1;1;1;;1;1;1;1;1;15
403;;;;;;;;;;;;;;;;;;;;;;;;
404;1;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;13
405;;;;;;;;;;;;;;;;;;;;;;;;
406;1;1;1;;1;;;1;1;;1;1;1;1;1;1;1;1;1;1;1;;1;18
407;;;;;;;;;;;;;;;;;;;;;;;;
408;;;;;;;;;;;;;;;;;;;;;;;;
409;;;;;;;;;;;;;;;;;;;;;;;;
410;;;;;;;;;;;;;;;;;;;;;;;;
411;;;;;;;;;;;;;;;;;;;;;;;;
412;;;;;;;;;;;;;;;;;;;;;;;;
413;;;;;;;;;;;;;;;;;;;;;;;;
414;;;;;;;;;;;;;;;;;;;;;;;;
415;;;;;;;;;;;;;;;;;;;;;;;;
416;;;;;;;;;;;;;;;;;;;;;;;;
417;;;1;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
418;;;;;;;;;;;;;;;;;;;;;;;;
419;;;;;;;;;;;;;;;;;;;;;;;;
420;;;;;;;;;;;;;;;;;;;;;;;;
421;;;;;;;;;;;;;;;;;;;;;;;;
422;;;;;;;;;;;;;;;;;;;;;;;;
423;;;;;;;;;;;;;;;;;;;;;;;;
424;;;;;;;;;;;;;;;;;;;;;;;;
425;;;;;;;;;;;;;;;;;;;;;;;;
426;;;;;;;;;;;;;;;;;;;;;;;;
427;;;;;;;;;;;;;;;;;;;;;;;;
428;;;;;;;;;;;;;;;;;;;;;;;;
429;;;;;;;;;;;;;;;;;;;;;;;;
430;;;;;;;;;;;;;;;;;;;;;;;;
431;1;;1;;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;20
432;;;;;;;;;;;;;;;;;;;;;;;;
433;;;;;;;;;;;;;;;;;;;;;;;;
434;;;;;;;;;;;;;;;;;;;;;;;;
435;;;;;;;;;;;;;;;;;;;;;;;;
436;;;;;;;;;;;;;;;;;;;;;;;;
437;;;;;;;;;;;;;;;;;;;;;;;;
438;1;1;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
439;;;;;;;;;;;;;;;;;;;;;;;;
440;;;;;;;;;;;;;;;;;;;;;;;;
441;1;;1;;1;1;1;1;1;1;1;1;1;;1;1;1;1;;1;;1;1;18
442;;;;;;;;;;;;;;;;;;;;;;;;
443;;;;;;;;;;;;;;;;;;;;;;;;
444;1;;;;1;;;;;;;1;1;1;1;1;1;;;;1;;1;10
445;;;;;;;;;;;;;;;;;;;;;;;;
446;;;;;;;;;;;;;;;;;;;;;;;;
447;1;1;1;;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;21
448;;;;;;;;;;;;;;;;;;;;;;;;
